四则题目运算1   67+51+63
四则题目运算2   97+19+12
四则题目运算3   18+92-74
四则题目运算4   71+39+39
四则题目运算5   45-57+95
四则题目运算6   70+33
四则题目运算7   99+58
四则题目运算8   13+35-46
四则题目运算9   23-17
四则题目运算10   48+77+83
四则题目运算11   84-60+72
四则题目运算12   84+8
四则题目运算13   52+34-21
四则题目运算14   97+100
四则题目运算15   25+4+79
四则题目运算16   100-34
四则题目运算17   80+92+77
四则题目运算18   97+51
四则题目运算19   19+22
四则题目运算20   11+51
四则题目运算21   88+53-57
四则题目运算22   51+48
四则题目运算23   46+4
四则题目运算24   98+69-88
四则题目运算25   41+48+97
四则题目运算26   44+73-63
四则题目运算27   87-41
四则题目运算28   83+63+21
四则题目运算29   40+10
四则题目运算30   30-19
四则题目运算31   98-42
四则题目运算32   57-27
四则题目运算33   38+89
四则题目运算34   67+22
四则题目运算35   95+16-25
四则题目运算36   86+96
四则题目运算37   43+69+4
四则题目运算38   81+43
四则题目运算39   15+34
四则题目运算40   19+79-45
四则题目运算41   82+3+80
四则题目运算42   39+22+26
四则题目运算43   21+92
四则题目运算44   80+35+6
四则题目运算45   42+71
四则题目运算46   55-3+14
四则题目运算47   82-41-12
四则题目运算48   48-63+25
四则题目运算49   18+99
四则题目运算50   31-30
四则题目运算51   80+1
四则题目运算52   18+1
四则题目运算53   71-22-44
四则题目运算54   60-16
四则题目运算55   52+55+25
四则题目运算56   5-14+32
四则题目运算57   61+32+0
四则题目运算58   68-29+33
四则题目运算59   5+9-13
四则题目运算60   44+32-15
四则题目运算61   83-10
四则题目运算62   10+52
四则题目运算63   28-24
四则题目运算64   59-4
四则题目运算65   53-85+100
四则题目运算66   53+0+95
四则题目运算67   79-41
四则题目运算68   25+24
四则题目运算69   48+92
四则题目运算70   93+95
四则题目运算71   4+83
四则题目运算72   89+0-81
四则题目运算73   76-3-8
四则题目运算74   60+37
四则题目运算75   87+10
四则题目运算76   25+47
四则题目运算77   11+71+82
四则题目运算78   20-95+76
四则题目运算79   27+9+82
四则题目运算80   23+19+16
四则题目运算81   69-14+59
四则题目运算82   98+71+59
四则题目运算83   49+38
四则题目运算84   55+35
四则题目运算85   48+41
四则题目运算86   92+39
四则题目运算87   26-1
四则题目运算88   64+33-62
四则题目运算89   76-26+32
四则题目运算90   30+14
四则题目运算91   92-40+2
四则题目运算92   64+8+3
四则题目运算93   31-38+98
四则题目运算94   98-32+69
四则题目运算95   11+82+11
四则题目运算96   40+21
四则题目运算97   60-44+44
四则题目运算98   38-3+43
四则题目运算99   24-0+90
四则题目运算100   11+35-9
四则题目运算101   57-15-38
四则题目运算102   43-23+84
四则题目运算103   69+5
四则题目运算104   93+86+77
四则题目运算105   12+88+100
四则题目运算106   30-2
四则题目运算107   16-18+41
四则题目运算108   78-57
四则题目运算109   69+56-13
四则题目运算110   26-38+96
四则题目运算111   2+60
四则题目运算112   95-26+0
四则题目运算113   11+96
四则题目运算114   88-31
四则题目运算115   62+14
四则题目运算116   39-22
四则题目运算117   96-1+91
四则题目运算118   33+80
四则题目运算119   20+50+81
四则题目运算120   14+96
四则题目运算121   91-11-7
四则题目运算122   40+50+55
四则题目运算123   1+70-71
四则题目运算124   55+94
四则题目运算125   59+20
四则题目运算126   47-50+85
四则题目运算127   29+0+91
四则题目运算128   55-33
四则题目运算129   55+12+49
四则题目运算130   99-4
四则题目运算131   5-42+98
四则题目运算132   77+36-41
四则题目运算133   81-40+60
四则题目运算134   9-13+6
四则题目运算135   35-33
四则题目运算136   67+57+21
四则题目运算137   54+50+81
四则题目运算138   73+77
四则题目运算139   83+16
四则题目运算140   13-15+30
四则题目运算141   49-42
四则题目运算142   100-7
四则题目运算143   4+19+25
四则题目运算144   44-44
四则题目运算145   95-63
四则题目运算146   5+58-42
四则题目运算147   77-4+89
四则题目运算148   87-42+37
四则题目运算149   55-2
四则题目运算150   94-71
四则题目运算151   35+35
四则题目运算152   73+15
四则题目运算153   0+73
四则题目运算154   91+5
